+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|     56 | I75    | I74    | I73    | I72    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     57 | I76    | I75    | I74    | I73    | I72    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     58 | I77    | I76    | I75    | I74    | I73    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     59 | I78    | I77    | I76    | I75    | I74    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     60 | I79    | I78    | I77    | I76    | I75    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     61 | I80    | I79    | I78    | I77    | I76    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     62 | I81    | I80    | I79    | I78    | I77    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     63 | I82    | I81    | I80    | I79    | I78    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     64 | I83    | I82    | I81    | I80    | I79    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     65 | I84    | I83    | I82    | I81    | I80    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     66 | I85    | I84    | I83    | I82    | I81    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     67 | I86    | I85    | I84    | I83    | I82    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     68 | I87    | I86    | I85    | I84    | I83    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     69 | I88    | I87    | I86    | I85    | I84    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     70 | I89    | I88    | I87    | I86    | I85    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     71 | I90    | I89    | I88    | I87    | I86    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
